Competitions,Hours,Day,Frequency,Date,Lac_CFU_i,Lac_CFU_f,Comp_CFU_i,Comp_CFU_f,Pop_CFU_i,Pop_CFU_f,Lac_proportion_i,Lac_proportion_f,Comp_proportion_i,Comp_proportion_f,Replicate,Lac_marker,Competitor,ln(final_Lac / initial_Lac),ln(final_Comp / initial_Comp),Selection_rate_lac,Selection_rate_comp
PA14 pilA vs Lac Ancestor,24,1,9:1,2024-03-28,6.60E+06,5.90E+09,8.00E+05,5.20E+08,7.40E+06,6.42E+09,0.8918919,0.919003115,0.108108108,0.080996885,2,Lac Ancestor,PA14 pilA,6.795637981,6.476972363,0.318665618,-0.318665618
PA14 pilA vs Lac Ancestor,24,1,9:1,2024-03-28,4.80E+06,2.50E+09,4.00E+05,3.80E+08,5.20E+06,2.88E+09,0.9230769,0.868055556,0.076923077,0.131944444,3,Lac Ancestor,PA14 pilA,6.255430093,6.856461985,-0.601031892,0.601031892
PA14 pilA vs new G1,24,1,1:9,2024-03-28,2.00E+04,1.00E+07,5.40E+06,4.00E+09,5.42E+06,4.01E+09,0.0036900,0.002493766,0.996309963,0.997506234,1,new G1,PA14 pilA,6.214608098,6.607650687,-0.393042588,0.393042588
PA14 pilA vs new G1,24,1,1:9,2024-03-28,8.00E+04,3.00E+07,5.70E+06,5.60E+09,5.78E+06,5.63E+09,0.0138408,0.005328597,0.986159170,0.994671403,2,new G1,PA14 pilA,5.926926026,6.890055702,-0.963129676,0.963129676
PA14 pilA vs new G1,24,1,1:9,2024-03-28,8.00E+04,7.00E+07,6.80E+06,3.90E+09,6.88E+06,3.97E+09,0.0116279,0.017632242,0.988372093,0.982367758,3,new G1,PA14 pilA,6.774223886,6.35180922,0.422414666,-0.422414666
PA14 pilA vs new G1,24,1,9:1,2024-03-28,1.50E+05,5.00E+08,5.00E+05,4.10E+09,6.50E+05,4.60E+09,0.2307692,0.108695652,0.769230769,0.891304348,1,new G1,PA14 pilA,8.111728083,9.011889433,-0.90016135,0.90016135
PA14 pilA vs new G1,24,1,9:1,2024-03-28,3.90E+05,5.00E+08,7.80E+05,2.90E+09,1.17E+06,3.40E+09,0.3333333,0.147058824,0.666666667,0.852941176,2,new G1,PA14 pilA,7.156216638,8.220927375,-1.064710737,1.064710737
PA14 pilA vs new G1,24,1,9:1,2024-03-28,8.90E+05,1.90E+09,9.60E+05,1.80E+09,1.85E+06,3.70E+09,0.4810811,0.513513514,0.518918919,0.486486486,3,new G1,PA14 pilA,7.666142981,7.536363938,0.129779043,-0.129779043
PA14 pilA vs new G1,24,1,99:1,2024-03-28,1.60E+05,7.00E+08,2.30E+05,2.80E+09,3.90E+05,3.50E+09,0.4102564,0.200000000,0.589743590,0.800000000,1,new G1,PA14 pilA,8.383661799,9.407050666,-1.023388867,1.023388867
PA14 pilA vs new G1,24,1,99:1,2024-03-28,4.20E+05,1.80E+09,2.60E+05,2.00E+09,6.80E+05,3.80E+09,0.6176471,0.473684211,0.382352941,0.526315789,2,new G1,PA14 pilA,8.363042512,8.947976108,-0.584933596,0.584933596
